miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR20A	MIR17	PLEC	DST
MIR20A	MIR17	PLEC	UTRN
MIR20A	MIR17	IRF1	IRF9
MIR20A	MIR17	RAB22A	RAB5B
MIR20A	MIR17	RAB22A	DNAJC27
MIR20A	MIR17	RAB22A	RAB1A
MIR20A	MIR17	CCNG2	CCND1
MIR20A	MIR17	CCNG2	CCNI
MIR20A	MIR17	CCNG2	CCND2
MIR20A	MIR17	TUBB4B	TUBB6
MIR20A	MIR17	KMT2B	EZH1
MIR20A	MIR17	KMT2B	NSD1
MIR20A	MIR17	HNRNPL	PTBP1
MIR20A	MIR17	NSD1	EZH1
MIR20A	MIR17	TNFRSF1B	TNFRSF10B
MIR20A	MIR17	DIAPH1	INF2
MIR20A	MIR17	EIF4G2	EIF4G3
MIR20A	MIR17	MTOR	TRRAP
MIR20A	MIR17	MTOR	PRKDC
MIR20A	MIR17	ZNF81	ZNF880
MIR20A	MIR17	KLHL28	KLHL18
MIR20A	MIR17	KLHL28	KLHL7
MIR20A	MIR17	KLHL28	GAN
MIR20A	MIR17	RUFY2	ZFYVE26
MIR20A	MIR17	ARL1	ARL4A
MIR20A	MIR17	ARL1	ARF1
MIR20A	MIR17	ARL1	ARL9
MIR20A	MIR17	DNAJC27	RAB5B
MIR20A	MIR17	DNAJC27	RAB1A
MIR20A	MIR17	AKTIP	UBE2W
MIR20A	MIR17	AKTIP	UBE2Z
MIR20A	MIR17	HECTD1	UBE3C
MIR20A	MIR17	HECTD1	HUWE1
MIR20A	MIR17	PRKDC	TRRAP
MIR20A	MIR17	PRRC2B	PRRC2C
MIR20A	MIR17	KIF1C	KIF3C
MIR20A	MIR17	MSN	FRMD4A
MIR20A	MIR17	DYRK3	HIPK3
MIR20A	MIR17	DYRK3	HIPK1
MIR20A	MIR17	RAC1	RHOC
MIR20A	MIR17	UBE2W	UBE2Z
MIR20A	MIR17	SEMA6D	SEMA7A
MIR20A	MIR17	MACF1	SYNE2
MIR20A	MIR17	MACF1	FLNC
MIR20A	MIR17	MACF1	FLNB
MIR20A	MIR17	MACF1	UTRN
MIR20A	MIR17	NR2C2	NR2F2
MIR20A	MIR17	KLHL7	KLHL18
MIR20A	MIR17	KLHL7	GAN
MIR20A	MIR17	BMPR2	TGFBR2
MIR20A	MIR17	PLXNA1	PLXND1
MIR20A	MIR17	MYO19	MYO10
MIR20A	MIR17	ZBTB18	ZFP91
MIR20A	MIR17	PNP	MTAP
MIR20A	MIR17	DST	SYNE2
MIR20A	MIR17	DST	FLNC
MIR20A	MIR17	DST	FLNB
MIR20A	MIR17	DST	UTRN
MIR20A	MIR17	PKD1	PKD2
MIR20A	MIR17	CHD4	SMARCA4
MIR20A	MIR17	ADAR	STAU1
MIR20A	MIR17	SYNE2	FLNC
MIR20A	MIR17	SYNE2	FLNB
MIR20A	MIR17	SYNE2	UTRN
MIR20A	MIR17	UTRN	FLNC
MIR20A	MIR17	UTRN	FLNB
MIR20A	MIR17	AGFG2	ASAP2
MIR20A	MIR17	UBE3C	HUWE1
MIR20A	MIR17	LAMC1	LAMA4
MIR20A	MIR17	SOCS5	SOCS1
MIR20A	MIR17	KLF10	KLF3
MIR20A	MIR17	DUSP2	DUSP18
MIR20A	MIR17	AQR	ZNFX1
MIR20A	MIR17	ARL4A	ARF1
MIR20A	MIR17	ARL4A	ARL9
MIR20A	MIR17	CCNI	CCND1
MIR20A	MIR17	CCNI	CCND2
MIR20A	MIR17	USP3	USP22
MIR20A	MIR17	RBM14	PABPC4
MIR20A	MIR17	RBM14	RBM38
MIR20A	MIR17	RAC2	RHOC
MIR20A	MIR17	TAOK3	MAP3K8
MIR20A	MIR17	IPO9	IPO7
MIR20A	MIR17	PABPC4	RBM38
MIR20A	MIR17	KPNA2	KPNA3
MIR20A	MIR17	RAB5B	RAB1A
MIR20A	MIR17	ARF1	ARL9
MIR20A	MIR17	GAN	KLHL18
MIR20B	MIR106B	CCND1	CCNG2
MIR20B	MIR106B	SEMA6D	SEMA7A
MIR20B	MIR106B	IRF1	IRF9
MIR20B	MIR106B	SOCS5	SOCS1
MIR20B	MIR106B	KLF10	KLF3
MIR20B	MIR106B	RAB22A	RAB5B
MIR20B	MIR106B	RAB22A	DNAJC27
MIR20B	MIR106B	CCNG2	CCND2
MIR20B	MIR106B	MAP3K9	LIMK1
MIR20B	MIR106B	ZFYVE26	RUFY2
MIR20B	MIR106B	PKD1	PKD2
MIR20B	MIR106B	DUSP2	DUSP18
MIR20B	MIR106B	RAB5B	DNAJC27
MIR20B	MIR106B	ARL4A	ARL1
MIR20B	MIR106B	ZNF81	ZNF880
MIR20B	MIR106B	KLHL28	GAN
MIR20B	MIR106B	MAP3K8	TAOK3
MIR20B	MIR17	CCND1	CCNG2
MIR20B	MIR17	RASA2	NF1
MIR20B	MIR17	SEMA6D	SEMA7A
MIR20B	MIR17	NLK	MAPK9
MIR20B	MIR17	USP34	USP3
MIR20B	MIR17	IRF1	IRF9
MIR20B	MIR17	SOCS5	SOCS1
MIR20B	MIR17	KLF10	KLF3
MIR20B	MIR17	RAB22A	RAB5B
MIR20B	MIR17	RAB22A	DNAJC27
MIR20B	MIR17	RAB22A	RAB12
MIR20B	MIR17	CCNG2	CCND2
MIR20B	MIR17	ZBTB18	ZFP91
MIR20B	MIR17	ZNF592	GZF1
MIR20B	MIR17	MAP3K9	LIMK1
MIR20B	MIR17	ZFYVE26	RUFY3
MIR20B	MIR17	ZFYVE26	RUFY2
MIR20B	MIR17	PKD1	PKD2
MIR20B	MIR17	DUSP2	DUSP18
MIR20B	MIR17	RAB5B	DNAJC27
MIR20B	MIR17	RAB5B	RAB12
MIR20B	MIR17	ARL4A	ARL1
MIR20B	MIR17	KMT2B	EZH1
MIR20B	MIR17	CACUL1	CUL5
MIR20B	MIR17	GBF1	PSD3
MIR20B	MIR17	ZNF81	ZNF490
MIR20B	MIR17	ZNF81	ZNF880
MIR20B	MIR17	KBTBD8	KLHL28
MIR20B	MIR17	KBTBD8	GAN
MIR20B	MIR17	KLHL28	GAN
MIR20B	MIR17	MAP3K8	TAOK3
MIR20B	MIR17	RND3	RHOC
MIR20B	MIR17	DNAJC27	RAB12
MIR20B	MIR17	HECTD1	UBE3C
MIR20B	MIR17	MSN	FRMD4A
MIR20B	MIR17	ZNF490	ZNF880
MIR93	MIR106B	CCND1	CCNG2
MIR93	MIR106B	IRF1	IRF9
MIR93	MIR106B	SOCS5	SOCS1
MIR93	MIR106B	RAB22A	RAB5B
MIR93	MIR106B	RAB22A	DNAJC27
MIR93	MIR106B	CCNG2	CCND2
MIR93	MIR106B	MAP3K9	LIMK1
MIR93	MIR106B	ZFYVE26	RUFY2
MIR93	MIR106B	PKD1	PKD2
MIR93	MIR106B	DUSP2	DUSP18
MIR93	MIR106B	RAB5B	DNAJC27
MIR93	MIR106B	ARL4A	ARL1
MIR93	MIR106B	HSPA8	HYOU1
MIR93	MIR106B	ZNF81	ZNF880
MIR93	MIR106B	KLHL28	GAN
MIR93	MIR17	CCND1	CCNG2
MIR93	MIR17	RASD1	RIT1
MIR93	MIR17	DCTN1	CLIP4
MIR93	MIR17	RASA2	NF1
MIR93	MIR17	MACF1	SPTBN1
MIR93	MIR17	MACF1	SYNE1
MIR93	MIR17	USP34	USP3
MIR93	MIR17	IRF1	IRF9
MIR93	MIR17	SOCS5	SOCS1
MIR93	MIR17	RAB22A	RAB5B
MIR93	MIR17	RAB22A	DNAJC27
MIR93	MIR17	RAB22A	RAB12
MIR93	MIR17	CCNG2	CCND2
MIR93	MIR17	ZBTB18	ZFP91
MIR93	MIR17	MAP3K9	LIMK1
MIR93	MIR17	ZNF592	GZF1
MIR93	MIR17	PDPK1	AKT3
MIR93	MIR17	ZFYVE26	RUFY3
MIR93	MIR17	ZFYVE26	RUFY2
MIR93	MIR17	PKD1	PKD2
MIR93	MIR17	LRP6	LRP1
