miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR30E	MIR30D	PIP4K2A	PIP4K2B
MIR30E	MIR30D	SOCS3	SOCS1
MIR30E	MIR30D	TET3	TET2
MIR30E	MIR30D	DDX17	DDX5
MIR30B	MIR30C1	RRM2B	RRM2
MIR30B	MIR30C1	SOCS3	SOCS1
MIR30B	MIR30C2	RRM2B	RRM2
MIR30B	MIR30C2	SOCS3	SOCS1
MIR30C1	MIR30C2	RRM2B	RRM2
MIR30C1	MIR30C2	SOCS3	SOCS1
MIR30C1	MIR30C2	MLXIP	MLXIPL
MIR7-1	MIR7-2	G3BP2	G3BP1
MIR9-1	MIR9-2	POU2F1	POU2F2
MIR9-1	MIR9-2	MTF2	PHF19
MIR9-1	MIR9-2	HIF1A	EPAS1
MIR9-1	MIR9-2	BIRC3	XIAP
MIR9-1	MIR9-3	POU2F1	POU2F2
MIR9-1	MIR9-3	MTF2	PHF19
MIR9-1	MIR9-3	HIF1A	EPAS1
MIR9-1	MIR9-3	BIRC3	XIAP
MIR9-2	MIR9-3	POU2F1	POU2F2
MIR9-2	MIR9-3	MTF2	PHF19
MIR9-2	MIR9-3	HIF1A	EPAS1
MIR9-2	MIR9-3	BIRC3	XIAP
MIRLET7A1	MIRLET7A3	INSR	IGF1R
MIRLET7A1	MIRLET7A3	WIPI2	WIPI1
MIRLET7A1	MIRLET7A3	PHF19	PHF1
MIRLET7A1	MIRLET7A3	YWHAZ	YWHAB
MIRLET7A1	MIRLET7A3	KMT2B	KMT2A
MIRLET7A1	MIRLET7A3	GGA2	GGA3
MIRLET7A1	MIRLET7A3	YWHAG	YWHAH
MIRLET7A1	MIRLET7A3	TRAK2	TRAK1
MIRLET7A1	MIRLET7A3	SRSF9	SRSF1
MIRLET7A1	MIRLET7A3	COL5A2	COL1A1
MIRLET7A1	MIRLET7A3	MOB1B	MOB1A
MIRLET7A1	MIRLET7A3	NCOR1	NCOR2
MIRLET7A1	MIRLET7A3	ARID1A	ARID1B
MIRLET7A1	MIRLET7A3	MSN	RDX
MIRLET7A1	MIRLET7A3	AGO1	AGO2
MIRLET7A1	MIRLET7A3	SRC	FYN
MIRLET7A1	MIRLET7A3	TAB2	TAB3
MIRLET7A1	MIRLET7A3	YWHAH	YWHAB
MIRLET7A1	MIRLET7F2	GGA3	GGA2
MIRLET7A1	MIRLET7F2	IGF1R	INSR
MIRLET7A1	MIRLET7F2	MOB1B	MOB1A
MIRLET7A1	MIRLET7F2	NCOR1	NCOR2
MIRLET7A1	MIRLET7F2	TAB2	TAB3
MIRLET7A3	MIRLET7F2	GGA3	GGA2
MIRLET7A3	MIRLET7F2	IGF1R	INSR
MIRLET7A3	MIRLET7F2	MOB1B	MOB1A
MIRLET7A3	MIRLET7F2	NCOR1	NCOR2
MIRLET7A3	MIRLET7F2	TAB2	TAB3
MIR98	MIRLET7B	IGF1R	INSR
MIR98	MIRLET7B	MOB1B	MOB1A
MIR98	MIRLET7B	NCOR1	NCOR2
MIR98	MIRLET7F1	GGA3	GGA2
MIR98	MIRLET7F1	IGF1R	INSR
MIR98	MIRLET7F1	MOB1B	MOB1A
MIR98	MIRLET7F1	NCOR1	NCOR2
MIR98	MIRLET7F1	TAB2	TAB3
MIRLET7B	MIRLET7F1	IGF1R	INSR
MIRLET7B	MIRLET7F1	MOB1B	MOB1A
MIRLET7B	MIRLET7F1	NCOR1	NCOR2
MIRLET7D	MIRLET7G	IGF1R	INSR
MIRLET7D	MIRLET7I	IGF1R	INSR
MIRLET7D	MIRLET7I	PPP2CB	PPP2CA
MIRLET7G	MIRLET7I	IGF1R	INSR
MIRLET7G	MIRLET7I	NCOR1	NCOR2
MIRLET7G	MIRLET7I	TAB2	TAB3
