miRNA_1	miRNA_2	target
MIR103A1	MIR103A2	MTX3
MIR103A1	MIR103A2	TLE4
MIR103A1	MIR103A2	RSPO3
MIR103A1	MIR103A2	PPP4R3B
MIR103A1	MIR103A2	BCL2
MIR103A1	MIR103A2	AGO1
MIR103A1	MIR103A2	MED26
MIR103A1	MIR103A2	CAPZA2
MIR103A1	MIR103A2	CASK
MIR103A1	MIR103A2	DCBLD2
MIR103A1	MIR103A2	NEDD9
MIR103A1	MIR103A2	CDC42
MIR103A1	MIR103A2	IARS1
MIR103A1	MIR103A2	PPP2R3C
MIR103A1	MIR103A2	ZNF711
MIR103A1	MIR103A2	AQP11
MIR103A1	MIR103A2	UBR3
MIR103A1	MIR103A2	PAWR
MIR103A1	MIR103A2	WASHC4
MIR103A1	MIR103A2	PRKCE
MIR103A1	MIR103A2	ELOVL6
MIR103A1	MIR103A2	LARP4
MIR103A1	MIR103A2	MTMR4
MIR103A1	MIR103A2	CDK14
MIR103A1	MIR103A2	KIF23
MIR103A1	MIR103A2	EVA1A
MIR103A1	MIR103A2	FBXW7
MIR103A1	MIR103A2	BORCS7
MIR103A1	MIR103A2	TADA2B
MIR103A1	MIR103A2	IKZF2
MIR103A1	MIR103A2	RAB10
MIR103A1	MIR103A2	TNRC6B
MIR103A1	MIR103A2	DYRK2
MIR103A1	MIR103A2	TMEM47
MIR103A1	MIR103A2	DNAAF9
MIR103A1	MIR103A2	WDFY2
MIR103A1	MIR103A2	BCL6B
MIR103A1	MIR103A2	ANKIB1
MIR103A1	MIR103A2	GRIN2A
MIR103A1	MIR103A2	CEP85L
MIR103A1	MIR103A2	MYOCD
MIR103A1	MIR103A2	ANO3
MIR103A1	MIR103A2	SUN2
MIR103A1	MIR103A2	KDM7A
MIR103A1	MIR103A2	PNN
MIR103A1	MIR103A2	MKRN1
MIR103A1	MIR103A2	BTG2
MIR103A1	MIR103A2	AXIN2
MIR103A1	MIR103A2	KIF5A
MIR103A1	MIR103A2	PPP6C
MIR103A1	MIR103A2	CLCN5
MIR103A1	MIR103A2	STRIP1
MIR103A1	MIR103A2	NDEL1
MIR103A1	MIR103A2	TWF1
MIR103A1	MIR103A2	TRIAP1
MIR103A1	MIR103A2	DLL1
MIR103A1	MIR103A2	AGO4
MIR103A1	MIR103A2	TSPAN5
MIR103A1	MIR103A2	USP42
MIR103A1	MIR103A2	SNCG
MIR103A1	MIR103A2	ARNT
MIR103A1	MIR103A2	TNPO1
MIR103A1	MIR103A2	CHD6
MIR103A1	MIR103A2	DYRK1A
MIR103A1	MIR103A2	MAP3K4
MIR103A1	MIR103A2	FERMT2
MIR103A1	MIR103A2	SCN2A
MIR103A1	MIR103A2	VCAN
MIR103A1	MIR103A2	ZNRF2
MIR103A1	MIR103A2	GPATCH8
MIR103A1	MIR103A2	CDK6
MIR103A1	MIR103A2	PPIP5K2
MIR103A1	MIR103A2	TLK1
MIR103A1	MIR103A2	FRYL
MIR103A1	MIR103A2	TMEM132B
MIR103A1	MIR103A2	PAK2
MIR103A1	MIR103A2	PURB
MIR103A1	MIR103A2	ZNF236
MIR103A1	MIR103A2	GALNT7
MIR103A1	MIR103A2	ZFPM2
MIR103A1	MIR103A2	MYH9
MIR103A1	MIR103A2	NCOA1
MIR103A1	MIR103A2	CSNK1A1
MIR103A1	MIR103A2	NGEF
MIR103A1	MIR103A2	RAB11FIP2
MIR103A1	MIR103A2	MEF2D
MIR103A1	MIR103A2	NAA15
MIR103A1	MIR103A2	OTUD4
MIR103A1	MIR103A2	PDCD10
MIR103A1	MIR103A2	CDK8
