miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR520C	MIR526A2	CBX4	CBX8
MIR520G	MIR522	CBX4	CBX8
MIR520G	MIR523	CBX4	CBX8
MIR520G	MIR526A1	CBX4	CBX8
MIR520G	MIR526A2	CBX4	CBX8
MIR522	MIR523	CBX4	CBX8
MIR522	MIR526A1	CBX4	CBX8
MIR522	MIR526A2	CBX4	CBX8
MIR523	MIR526A1	CBX4	CBX8
MIR523	MIR526A2	CBX4	CBX8
MIR526A1	MIR526A2	CBX4	CBX8
MIR130A	MIR130B	AGO4	AGO1
MIR130A	MIR130B	BMPR2	ACVR1
MIR130A	MIR301A	AGO4	AGO1
MIR130A	MIR301B	AGO4	AGO1
MIR130A	MIR301B	BMPR2	ACVR1
MIR130B	MIR301A	AGO4	AGO1
MIR130B	MIR301B	AGO4	AGO1
MIR130B	MIR301B	BMPR2	ACVR1
MIR130B	MIR454	SNX5	SNX2
MIR200B	MIR200A	SRSF6	SRSF7
MIR15A	MIR16-1	FBXW7	BTRC
MIR15A	MIR16-2	FBXW7	BTRC
MIR15A	MIR195	FBXW7	BTRC
MIR16-1	MIR15B	FBXW7	BTRC
MIR16-1	MIR424	FBXW7	BTRC
MIR16-1	MIR497	FBXW7	BTRC
MIR16-2	MIR15B	FBXW7	BTRC
MIR16-2	MIR424	FBXW7	BTRC
MIR16-2	MIR497	FBXW7	BTRC
MIR195	MIR15B	FBXW7	BTRC
MIR195	MIR424	FBXW7	BTRC
MIR195	MIR497	FBXW7	BTRC
MIR503	MIR497	ACVR2B	BMPR1A
MIR19A	MIR19B1	BMPR2	ACVR1
MIR19A	MIR19B2	BMPR2	ACVR1
MIR208A	MIR208B	UBE2V2	UBE2B
MIR208A	MIR208B	UBE2V2	UBE2N
MIR219B	MIR219A2	CHRFAM7A	CHRNA7
MIR219A2	MIR219A2	CHRFAM7A	CHRNA7
MIR219A2	MIR219A2	BMI1	RNF2
MIR29A	MIR29B1	COL3A1	COL11A1
MIR29A	MIR29B1	COL3A1	COL5A1
MIR29A	MIR29B1	COL3A1	COL5A2
MIR29A	MIR29B1	COL5A2	COL11A1
MIR29A	MIR29B1	COL5A2	COL5A1
MIR29A	MIR29B1	COL11A1	COL1A2
MIR29A	MIR29B1	COL1A2	COL5A1
MIR29A	MIR29B2	COL3A1	COL11A1
MIR29A	MIR29B2	COL3A1	COL5A1
MIR29A	MIR29B2	COL3A1	COL5A2
MIR29A	MIR29B2	COL5A2	COL11A1
MIR29A	MIR29B2	COL5A2	COL5A1
MIR29A	MIR29B2	COL11A1	COL1A2
MIR29A	MIR29B2	COL1A2	COL5A1
MIR29B1	MIR29C	COL3A1	COL11A1
MIR29B1	MIR29C	COL3A1	COL5A1
MIR29B1	MIR29C	COL3A1	COL5A2
MIR29B1	MIR29C	COL5A2	COL11A1
MIR29B1	MIR29C	COL5A2	COL5A1
