miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR30A	MIR30D	PIP4K2A	PIP4K2B
MIR30E	MIR30D	DDX5	DDX17
MIR30E	MIR30D	DPYSL2	CRMP1
MIR30E	MIR30D	ATL2	ATL3
MIR30E	MIR30D	PIP4K2A	PIP4K2B
MIR30B	MIR30C1	RRM2	RRM2B
MIR30B	MIR30C2	RRM2	RRM2B
MIR30C1	MIR30C2	RRM2	RRM2B
MIR33A	MIR33B	PURB	PURA
MIR7-1	MIR7-2	G3BP1	G3BP2
MIR9-1	MIR9-2	BIRC3	XIAP
MIR9-1	MIR9-2	ATL2	ATL3
MIR9-1	MIR9-3	BIRC3	XIAP
MIR9-1	MIR9-3	ATL2	ATL3
MIR9-2	MIR9-3	BIRC3	XIAP
MIR9-2	MIR9-3	ATL2	ATL3
MIRLET7A1	MIRLET7A3	FYN	SRC
MIRLET7A1	MIRLET7A3	AGO2	AGO1
MIRLET7A1	MIRLET7A3	MOB1B	MOB1A
MIRLET7A1	MIRLET7A3	SRSF1	SRSF9
MIRLET7A1	MIRLET7A3	YWHAB	YWHAH
MIRLET7A1	MIRLET7A3	YWHAB	YWHAZ
MIRLET7A1	MIRLET7A3	RBMS2	RBMS1
MIRLET7A1	MIRLET7A3	TRAK2	TRAK1
MIRLET7A1	MIRLET7A3	ARID1A	ARID1B
MIRLET7A1	MIRLET7A3	ANP32A	ANP32E
MIRLET7A1	MIRLET7A3	APLP2	APP
MIRLET7A1	MIRLET7A3	IGF2BP1	IGF2BP2
MIRLET7A1	MIRLET7A3	MAP3K2	MAP3K3
MIRLET7A1	MIRLET7A3	RPS6KA2	RPS6KA3
MIRLET7A1	MIRLET7A3	GIT1	GIT2
MIRLET7A1	MIRLET7A3	SKI	SKIL
MIRLET7A1	MIRLET7A3	YWHAG	YWHAH
MIRLET7A1	MIRLET7A3	NCOR2	NCOR1
MIRLET7A1	MIRLET7A3	IGF1R	INSR
MIRLET7A1	MIRLET7A3	GGA2	GGA3
MIRLET7A1	MIRLET7F2	GGA2	GGA3
MIRLET7A1	MIRLET7F2	RBMS1	RBMS2
MIRLET7A1	MIRLET7F2	MOB1A	MOB1B
MIRLET7A1	MIRLET7F2	IGF2BP2	IGF2BP1
MIRLET7A1	MIRLET7F2	IGF1R	INSR
MIRLET7A1	MIRLET7F2	NCOR1	NCOR2
MIRLET7A3	MIRLET7F2	GGA2	GGA3
MIRLET7A3	MIRLET7F2	RBMS1	RBMS2
MIRLET7A3	MIRLET7F2	MOB1A	MOB1B
MIRLET7A3	MIRLET7F2	IGF2BP2	IGF2BP1
MIRLET7A3	MIRLET7F2	IGF1R	INSR
MIRLET7A3	MIRLET7F2	NCOR1	NCOR2
MIR98	MIRLET7B	RBMS1	RBMS2
MIR98	MIRLET7B	MOB1A	MOB1B
MIR98	MIRLET7B	IGF2BP2	IGF2BP1
MIR98	MIRLET7B	IGF1R	INSR
MIR98	MIRLET7B	NCOR1	NCOR2
MIR98	MIRLET7F1	GGA2	GGA3
