miRNA_1	miRNA_2	target
MIR10B	MIR125B2	UGCG
MIR10B	MIR125B2	MME
MIR10B	MIR99A	PSMD1
MIR10B	MIR99A	ZNF217
MIR10B	MIR99B	LSS
MIR10B	MIR99B	PLA2G4F
MIR10B	MIR99B	ACTG1
MIR10B	MIR99B	UGCG
MIR10B	MIR99B	NR1D1
MIR10B	MIR99B	ZNF217
MIR125A	MIR99A	BAZ2A
MIR125A	MIR99A	PPL
MIR125A	MIR99A	ANPEP
MIR125A	MIR99A	MTHFD1L
MIR125A	MIR99A	RAB2A
MIR125A	MIR99B	BAZ2A
MIR125A	MIR99B	SOD2
MIR125A	MIR99B	CAMSAP2
MIR125A	MIR99B	PPL
MIR125A	MIR99B	PLA2G4F
MIR125A	MIR99B	SPAG9
MIR125A	MIR99B	VEGFA
MIR125A	MIR99B	UGCG
MIR125B1	MIR99A	BAZ2A
MIR125B1	MIR99A	PPL
MIR125B1	MIR99A	TNRC6B
MIR125B1	MIR99A	GCSAM
MIR125B1	MIR99A	ANPEP
MIR125B1	MIR99A	RAB2A
MIR125B1	MIR99B	BAZ2A
MIR125B1	MIR99B	SOD2
MIR125B1	MIR99B	CAMSAP2
MIR125B1	MIR99B	PPL
MIR125B1	MIR99B	PLA2G4F
MIR125B1	MIR99B	TNRC6B
MIR125B1	MIR99B	SPAG9
MIR125B1	MIR99B	U2AF2
MIR125B1	MIR99B	VEGFA
MIR125B1	MIR99B	UGCG
MIR125B2	MIR99A	BAZ2A
MIR125B2	MIR99A	PPL
MIR125B2	MIR99A	TNRC6B
MIR125B2	MIR99A	GCSAM
MIR125B2	MIR99A	CLTC
MIR125B2	MIR99A	ANPEP
MIR125B2	MIR99A	RAB2A
MIR125B2	MIR99B	BAZ2A
MIR125B2	MIR99B	SOD2
MIR125B2	MIR99B	CAMSAP2
MIR125B2	MIR99B	PPL
MIR125B2	MIR99B	PLA2G4F
MIR125B2	MIR99B	TNRC6B
MIR125B2	MIR99B	SPAG9
MIR125B2	MIR99B	CLTC
MIR125B2	MIR99B	VEGFA
