miRNA_1	miRNA_2	target
MIR10A	MIR99A	IGF1R
MIR10A	MIR99A	CNKSR2
MIR10A	MIR99A	FOXJ3
MIR10A	MIR99A	LCOR
MIR10A	MIR99B	EPHA7
MIR10A	MIR99B	TNRC6A
MIR10A	MIR99B	ZMYND11
MIR10A	MIR99B	GOLGA3
MIR10A	MIR99B	HOXA1
MIR10A	MIR99B	MTMR3
MIR10A	MIR99B	SYNCRIP
MIR10A	MIR99B	LRRC8B
MIR10A	MIR99B	SPRED1
MIR10A	MIR99B	TCF7L2
MIR10A	MIR99B	TIAM1
MIR10A	MIR99B	BCL2L11
MIR10A	MIR99B	PDIK1L
MIR10A	MIR99B	UBE2D3
MIR10A	MIR99B	NR6A1
MIR10A	MIR99B	IGF1R
MIR10A	MIR99B	MAP3K7
MIR10A	MIR99B	TMEFF1
MIR10B	MIR125A	NR4A3
MIR10B	MIR125A	SEMA6D
MIR10B	MIR125A	USP46
MIR10B	MIR125A	MLLT10
MIR10B	MIR125A	RAP2B
MIR10B	MIR125A	BBX
MIR10B	MIR125A	PDE7A
MIR10B	MIR125A	MYT1L
MIR10B	MIR125A	RAP2A
MIR10B	MIR125A	CDK6
MIR10B	MIR125A	NKAPD1
MIR10B	MIR125A	WWC2
MIR10B	MIR125A	INO80D
MIR10B	MIR125A	MTF1
MIR10B	MIR125A	E2F3
MIR10B	MIR125A	WDR37
MIR10B	MIR125A	SLC38A2
MIR10B	MIR125A	ACVR2B
MIR10B	MIR125A	ADAMTS5
MIR10B	MIR125A	CREB1
MIR10B	MIR125A	CYTH1
MIR10B	MIR125A	PAFAH1B1
MIR10B	MIR125B1	PAPOLA
MIR10B	MIR125B1	ITSN1
MIR10B	MIR125B1	INO80D
MIR10B	MIR125B1	MTF1
MIR10B	MIR125B1	MDGA2
MIR10B	MIR125B1	WTAP
MIR10B	MIR125B1	NKAPD1
MIR10B	MIR125B1	CYTH1
MIR10B	MIR125B1	ARIH1
MIR10B	MIR125B1	GRIN2A
MIR10B	MIR125B1	SLC38A2
MIR10B	MIR125B1	NBR1
MIR10B	MIR125B1	PAFAH1B1
MIR10B	MIR125B2	ARFIP1
MIR10B	MIR125B2	PNN
MIR10B	MIR125B2	C11orf87
MIR10B	MIR125B2	LCORL
MIR10B	MIR125B2	TNRC6B
MIR10B	MIR125B2	DAZAP1
MIR10B	MIR125B2	ERBB4
MIR10B	MIR125B2	TMCC1
MIR10B	MIR125B2	NKAPD1
MIR10B	MIR125B2	CADM2
MIR10B	MIR125B2	ITGAV
MIR10B	MIR125B2	CREBRF
MIR10B	MIR125B2	ESRRG
MIR10B	MIR125B2	INO80D
MIR10B	MIR125B2	MTF1
MIR10B	MIR125B2	VASH2
MIR10B	MIR125B2	RTN4R
MIR10B	MIR125B2	SOBP
MIR10B	MIR125B2	NEXMIF
MIR10B	MIR125B2	MED13L
MIR10B	MIR125B2	CALCR
MIR10B	MIR125B2	ZC3H12C
MIR10B	MIR125B2	PTEN
MIR10B	MIR125B2	BCL2L11
MIR10B	MIR125B2	RBM27
MIR10B	MIR125B2	ZIC2
MIR10B	MIR125B2	CYTH1
MIR10B	MIR125B2	PAFAH1B1
MIR10B	MIR99A	ACVR2B
MIR10B	MIR99A	NUP160
MIR10B	MIR99A	ZMYND11
MIR10B	MIR99A	GSK3B
MIR10B	MIR99A	ITSN1
MIR10B	MIR99A	HOXA1
MIR10B	MIR99A	MTMR3
MIR10B	MIR99A	RMND5A
MIR10B	MIR99A	LRRC8B
MIR10B	MIR99A	RAP2A
MIR10B	MIR99A	BCAT1
MIR10B	MIR99A	BCL2L11
MIR10B	MIR99A	TRIB2
MIR10B	MIR99A	NR6A1
MIR10B	MIR99A	PAFAH1B1
MIR10B	MIR99B	ACVR2B
MIR10B	MIR99B	NUP160
MIR10B	MIR99B	ZMYND11
MIR10B	MIR99B	GOLGA3
MIR10B	MIR99B	HOXA1
MIR10B	MIR99B	MTMR3
MIR10B	MIR99B	RMND5A
MIR10B	MIR99B	LRRC8B
MIR10B	MIR99B	RB1
MIR10B	MIR99B	TIAM1
MIR10B	MIR99B	NR6A1
MIR10B	MIR99B	BCAT1
MIR10B	MIR99B	BCL2L11
MIR10B	MIR99B	TRIB2
MIR10B	MIR99B	MDM2
MIR10B	MIR99B	GSK3B
MIR10B	MIR99B	MAP3K7
MIR10B	MIR99B	PAFAH1B1
