miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR20B	MIR17	E2F1	E2F5
MIR20B	MIR17	RAP2A	RASL11B
MIR20B	MIR17	RAP2C	RASL11B
MIR20B	MIR17	KLHL28	KLHL2
MIR20B	MIR17	ZBTB7A	ZNF367
MIR20B	MIR17	ZFYVE26	RUFY2
MIR93	MIR106B	LAMA3	NTN4
MIR93	MIR106B	E2F1	E2F5
MIR93	MIR106B	RAP2C	RASL11B
MIR93	MIR106B	KLHL28	KLHL2
MIR93	MIR106B	ZBTB7A	ZNF367
MIR93	MIR106B	ZFYVE26	RUFY2
MIR93	MIR17	NEDD4L	HECTD2
MIR93	MIR17	DPYSL2	DPYSL5
MIR93	MIR17	LAMA3	NTN4
MIR93	MIR17	E2F1	E2F5
MIR93	MIR17	USP3	USP33
MIR93	MIR17	RAP2C	RASL11B
MIR93	MIR17	KLHL28	KLHL2
MIR93	MIR17	ZBTB7A	ZNF367
MIR93	MIR17	ZFYVE26	RUFY2
MIR1185-1	MIR1185-2	PPP6C	PPP2CB
MIR1185-1	MIR1185-2	XIAP	NAIP
MIR1185-1	MIR1185-2	SLC2A13	SLC2A3
MIR1185-1	MIR1185-2	SLC2A13	SLC2A14
MIR1185-1	MIR1185-2	DUSP6	STYX
MIR1185-1	MIR1185-2	GATA2	TRPS1
MIR1185-1	MIR1185-2	EPHA6	TEK
MIR1185-1	MIR1185-2	EPHA6	NTRK3
MIR1185-1	MIR1185-2	EPHA6	ERBB4
MIR1185-1	MIR1185-2	IRX3	IRX5
MIR1185-1	MIR1185-2	QKI	KHDRBS3
MIR1185-1	MIR1185-2	FOXO3	FOXC1
MIR1185-1	MIR1185-2	FOXO3	FOXJ2
MIR1185-1	MIR1185-2	FOXO3	FOXM1
MIR1185-1	MIR1185-2	FOXO3	FOXP1
MIR1185-1	MIR1185-2	USP9X	USP37
MIR1185-1	MIR1185-2	MYO1E	TMF1
MIR1185-1	MIR1185-2	KMT2C	ASH1L
MIR1185-1	MIR1185-2	KMT2C	NSD3
MIR1185-1	MIR1185-2	NSD3	ASH1L
MIR1185-1	MIR1185-2	ERBB4	TEK
MIR1185-1	MIR1185-2	ERBB4	NTRK3
MIR1185-1	MIR1185-2	SET	TSPYL1
MIR1185-1	MIR1185-2	FOXJ2	FOXC1
MIR1185-1	MIR1185-2	FOXJ2	FOXM1
MIR1185-1	MIR1185-2	FOXJ2	FOXP1
MIR1185-1	MIR1185-2	RAB18	RAB2A
MIR1185-1	MIR1185-2	RAB18	RAB14
MIR1185-1	MIR1185-2	DDX3X	EIF4A2
MIR1185-1	MIR1185-2	LIFR	IL6ST
MIR1185-1	MIR1185-2	TEK	NTRK3
MIR1185-1	MIR1185-2	FOXC1	FOXM1
MIR1185-1	MIR1185-2	FOXC1	FOXP1
MIR1185-1	MIR1185-2	CSMD2	PAPPA2
MIR1185-1	MIR1185-2	POU2F1	POU4F2
MIR1185-1	MIR1185-2	RAB2A	RAB14
MIR1185-1	MIR1185-2	SLC2A14	SLC2A3
MIR1185-1	MIR1185-2	SOS2	RAPGEF5
MIR1185-1	MIR1185-2	FOXP1	FOXM1
MIR1185-1	MIR1185-2	ROBO2	CNTN2
MIR1185-1	MIR323B	FOXJ2	FOXP1
MIR1185-1	MIR409	GATA2	TRPS1
MIR1185-1	MIR495	POU2F1	POU4F2
MIR1185-1	MIR543	EIF4A2	DDX3X
MIR1185-1	MIR655	POU2F1	POU4F2
MIR1185-2	MIR323B	FOXJ2	FOXP1
MIR1185-2	MIR409	GATA2	TRPS1
MIR1185-2	MIR495	POU2F1	POU4F2
MIR1185-2	MIR543	DDX3X	EIF4A2
MIR1185-2	MIR655	POU2F1	POU4F2
MIR1193	MIR381	USP1	USP15
MIR1193	MIR494	PPM1D	PPM1E
MIR1193	MIR889	USP1	USP15
MIR1197	MIR487A	THRB	RARB
MIR1197	MIR487B	THRB	RARB
MIR1197	MIR496	THRB	RARB
MIR154	MIR485	PDE10A	PDE4D
MIR154	MIR485	ELAVL2	RBMS1
MIR154	MIR487A	PDE10A	PDE4D
MIR154	MIR487A	MYO1B	TMF1
MIR154	MIR487A	ELAVL2	RBMS1
MIR154	MIR487A	ZYG11A	ZER1
MIR154	MIR539	PDE10A	PDE4D
MIR154	MIR539	ELAVL2	RBMS1
MIR299	MIR379	KDM2B	KDM7A
MIR299	MIR381	RAP1A	RAP2C
MIR299	MIR410	CASK	MPP2
MIR299	MIR411	KDM2B	KDM7A
MIR323A	MIR539	KLF12	KLF6
MIR323A	MIR654	ASH1L	KMT2A
MIR323B	MIR381	HNRNPR	RBM24
MIR323B	MIR410	TAOK1	PAK2
MIR323B	MIR410	TOGARAM1	CLASP2
MIR323B	MIR410	ZNF552	ZNF562
MIR323B	MIR410	PPM1E	PPM1A
MIR323B	MIR411	USP6	USP34
MIR323B	MIR411	USP34	USP32
MIR323B	MIR494	ZNF552	ZNF562
MIR329-1	MIR329-2	SHPRH	CHD7
MIR329-1	MIR329-2	PSD3	MON2
MIR329-1	MIR329-2	RAP2B	RALA
MIR329-1	MIR329-2	RAP2B	RAP1B
MIR329-1	MIR329-2	SMAD2	SMAD4
