miRNA_1	miRNA_2	target
MIR103A1	MIR103A2	LATS2
MIR103A1	MIR103A2	ENTHD2
MIR103A1	MIR103A2	NLN
MIR103A1	MIR103A2	SIL1
MIR103A1	MIR103A2	TM9SF1
MIR103A1	MIR103A2	SON
MIR103A1	MIR103A2	BCAM
MIR103A1	MIR103A2	HIST1H2BB
MIR103A1	MIR103A2	FLNC
MIR103A1	MIR103A2	ATP5EP2
MIR103A1	MIR103A2	ASPH
MIR103A1	MIR103A2	RAB3GAP2
MIR103A1	MIR103A2	CKAP5
MIR103A1	MIR103A2	ZHX1
MIR103A1	MIR103A2	ABL1
MIR103A1	MIR103A2	DUSP6
MIR103A1	MIR103A2	CDC42EP1
MIR103A1	MIR103A2	BECN1
MIR103A1	MIR103A2	ADK
MIR103A1	MIR103A2	MYADM
MIR103A1	MIR103A2	TRABD
MIR103A1	MIR103A2	PPP6R1
MIR103A1	MIR103A2	IGFBP2
MIR103A1	MIR103A2	NDST1
MIR103A1	MIR103A2	ZCCHC3
MIR103A1	MIR103A2	RPL35
MIR103A1	MIR103A2	CLCN3
MIR103A1	MIR103A2	NFE2L3
MIR103A1	MIR103A2	PML
MIR103A1	MIR103A2	ALDH6A1
MIR103A1	MIR103A2	MCM7
MIR103A1	MIR103A2	GPI
MIR103A1	MIR103A2	UBR4
MIR103A1	MIR103A2	APP
MIR103A1	MIR103A2	DNM2
MIR103A1	MIR103A2	TNRC18
MIR103A1	MIR103A2	PLAUR
MIR103A1	MIR103A2	AGPAT5
MIR103A1	MIR103A2	PPFIBP1
MIR103A1	MIR103A2	PLAGL2
MIR103A1	MIR103A2	GPC1
MIR103A1	MIR103A2	CREBRF
MIR103A1	MIR103A2	NLRP1
MIR103A1	MIR103A2	LRP5
MIR103A1	MIR103A2	DUS1L
MIR103A1	MIR103A2	IQGAP1
MIR103A1	MIR103A2	ABHD6
MIR103A1	MIR103A2	PTP4A2
MIR103A1	MIR103A2	MED11
MIR103A1	MIR103A2	FRMD4B
MIR103A1	MIR103A2	CCT4
MIR103A1	MIR103A2	CD9
MIR103A1	MIR103A2	IMMT
MIR103A1	MIR103A2	CCNG1
MIR103A1	MIR103A2	RACGAP1
MIR103A1	MIR103A2	RSBN1
MIR103A1	MIR103A2	TMEM115
MIR103A1	MIR103A2	ACADVL
MIR103A1	MIR103A2	IER3
MIR103A1	MIR103A2	ELK3
MIR103A1	MIR103A2	BCL2L13
MIR103A1	MIR103A2	REV3L
MIR103A1	MIR103A2	GDE1
MIR103A1	MIR103A2	CHMP1B
MIR103A1	MIR103A2	NUDCD1
MIR103A1	MIR103A2	VPS53
MIR103A1	MIR103A2	FRY
MIR103A1	MIR103A2	XPO1
MIR103A1	MIR103A2	SYVN1
MIR103A1	MIR103A2	ECSCR
MIR103A1	MIR103A2	GUCD1
MIR103A1	MIR103A2	JOSD2
MIR103A1	MIR103A2	GPSM1
MIR103A1	MIR103A2	ZNF521
MIR103A1	MIR103A2	PM20D2
MIR103A1	MIR103A2	GSK3B
MIR103A1	MIR103A2	CHRNA10
MIR103A1	MIR103A2	ZFP36L2
MIR103A1	MIR103A2	PVRL1
MIR103A1	MIR103A2	BTBD7
MIR103A1	MIR103A2	N4BP1
MIR103A1	MIR103A2	FARSA
MIR103A1	MIR103A2	RBL1
MIR103A1	MIR103A2	FUBP1
MIR103A1	MIR103A2	UBN1
MIR103A1	MIR103A2	TSPAN14
MIR103A1	MIR103A2	ARHGEF15
MIR103A1	MIR103A2	SPRY4
MIR103A1	MIR103A2	CD48
MIR103A1	MIR103A2	MED12
MIR103A1	MIR103A2	GEMIN8
