miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR520G	MIR523	CBX4	CBX8
MIR520G	MIR526A1	CBX4	CBX8
MIR520G	MIR526A2	CBX4	CBX8
MIR522	MIR523	CBX8	CBX4
MIR522	MIR526A1	CBX8	CBX4
MIR522	MIR526A2	CBX8	CBX4
MIR523	MIR526A1	CBX8	CBX4
MIR523	MIR526A2	CBX8	CBX4
MIR526A1	MIR526A2	CBX8	CBX4
MIR130A	MIR130B	RAB8B	RAB5A
MIR130A	MIR130B	ACVR1	TGFBR2
MIR130A	MIR130B	ACVR1	BMPR2
MIR130A	MIR301A	ACVR1	TGFBR2
MIR130A	MIR301B	ACVR1	TGFBR2
MIR130A	MIR301B	ACVR1	BMPR2
MIR130A	MIR454	ACVR1	TGFBR2
MIR130B	MIR301A	ACVR1	TGFBR2
MIR130B	MIR301B	ACVR1	TGFBR2
MIR130B	MIR301B	ACVR1	BMPR2
MIR130B	MIR454	SNX5	SNX2
MIR130B	MIR454	ACVR1	TGFBR2
MIR301A	MIR454	ACVR1	TGFBR2
MIR301B	MIR454	ACVR1	TGFBR2
MIR132	MIR212	SOX11	SOX5
MIR200B	MIR200A	SRSF6	SRSF7
MIR200B	MIR200A	UBQLN2	UBQLN1
MIR15A	MIR16-1	CCND2	CCNE1
MIR15A	MIR16-2	CCND2	CCNE1
MIR15A	MIR195	CCND2	CCNE1
MIR16-1	MIR15B	CCND2	CCNE1
MIR16-1	MIR497	CCND2	CCNE1
MIR16-2	MIR15B	CCND2	CCNE1
MIR16-2	MIR497	CCND2	CCNE1
MIR195	MIR15B	CCND2	CCNE1
MIR195	MIR497	CCND2	CCNE1
MIR19A	MIR19B1	ACVR1	BMPR2
MIR19A	MIR19B2	ACVR1	BMPR2
MIR208A	MIR208B	UBE2N	UBE2K
MIR208A	MIR208B	UBE2N	UBE2V2
MIR208A	MIR208B	LIN28B	YBX1
MIR208A	MIR208B	UBE2B	UBE2V2
MIR219B	MIR219A2	EIF4A1	DDX3X
MIR219B	MIR219A2	CHRNA7	CHRFAM7A
MIR219A2	MIR219A2	TNPO1	IPO5
MIR219A2	MIR219A2	CHRFAM7A	CHRNA7
MIR219A2	MIR219A2	RNF2	BMI1
MIR219A2	MIR219A2	DDX3X	EIF4A1
MIR219A2	MIR219A2	PDGFRA	ERBB3
MIR219A2	MIR219A2	TIAL1	DAZAP1
MIR221	MIR222	PCDHAC1	PCDHA10
MIR221	MIR222	PCDHA3	PCDHA6
MIR221	MIR222	PCDHA3	PCDHA1
MIR221	MIR222	PCDHA3	PCDHA11
MIR221	MIR222	PCDHA3	PCDHA10
MIR221	MIR222	KPNA1	KPNA2
MIR221	MIR222	PCDHA10	PCDHA6
MIR221	MIR222	PCDHA10	PCDHA8
MIR221	MIR222	PCDHA10	PCDHA5
MIR221	MIR222	PCDHA10	PCDHA4
MIR221	MIR222	PCDHA10	PCDHA2
MIR221	MIR222	PCDHA10	PCDHA13
MIR221	MIR222	PCDHA10	PCDHA11
